cardCode,name,descriptionRaw,rarityRef,regionRefs,cost,type,price
01IO001,Nghi Thức Vi Tân,Hồi 4 máu cho 1 đồng minh hoặc Nhà Chính. Rút 1 lá bài.,Rare,['Ionia'],4,Bài phép,30
01IO010,Nhất Thống,Đổi chỗ và trao Lá Chắn cho 2 đồng minh trong vòng này.,Rare,['Ionia'],6,Bài phép,30
01IO022,Ảo Ma,Trao Huyền Ảo cho 1 đồng minh trong vòng này.,Common,['Ionia'],1,Bài phép,10
01IO021,Phong Điểu Mới Nở,"Khi ta được triệu hồi, trao +2|+2 cho các đồng minh khác trong vòng này.",Epic,['Ionia'],7,Bài quân,120
01IO054,Tri Thức Ngàn Năm,"Tạo trên tay 1 bài phép ngẫu nhiên khác thuộc khu vực đồng minh.
Khai Sáng: Tạo 2 bài phép thay vì 1.",Rare,['Ionia'],2,Bài phép,30
01IO027,Tiên Tri Bóng Đêm,Tấn Công Nhà Chính: Tạo trên tay 1 bản sao của ta.,Epic,['Ionia'],2,Bài quân,120
01IO031,Mây Vân Thần Thú,Giảm 1 tiêu hao của bài phép Siêu Tốc và Tập Trung.,Rare,['Ionia'],6,Bài quân,30
01IO002,Ý Chí Ionia,Thu Về 1 bài quân.,Common,['Ionia'],4,Bài phép,10
01IO033T1,Thăng Thiên Quyền,Thu Về 3 kẻ địch.,None,['Ionia'],0,Kỹ năng,0
01IO017,Kiếm Sư Trinh Sát Navori,"Khi ta được triệu hồi, trao cho ta Huyền Ảo trong vòng này.",Common,['Ionia'],1,Bài quân,10
01IO042,Môn Sinh Võ Học,"Khi ngươi triệu hồi 1 đồng minh khác, trao cho ta +1|+1 trong vòng này.",Common,['Ionia'],1,Bài quân,10
01IO006,Cặp Đôi Greenglade,"Khi ngươi triệu hồi 1 đồng minh khác, trao cho ta +1|+0 trong vòng này.",Rare,['Ionia'],2,Bài quân,30
01IO050,Người Dò Đường Kinkou,Liên Minh: Triệu hồi 1 đồng minh 1 tiêu hao từ bộ bài.,Rare,['Ionia'],4,Bài quân,30
01IO048,Yusari,,Rare,['Ionia'],5,Bài quân,30
01IO007,Ren Hắc Đao,Ra Đòn: Tạo trên tay 1 lá Quỷ Dữ Bóng Tối.,Epic,['Ionia'],4,Bài quân,120
01IO053,Lục Bảo Minh Nhân,Khai Sáng: Ta nhận +4|+4.,Common,['Ionia'],3,Bài quân,10
01IO004,Bình Máu,Hồi 3 máu cho 1 đồng minh hoặc Nhà Chính.,Common,['Ionia'],1,Bài phép,10
01IO049,Từ Chối,"Ngăn chặn 1 bài phép Nhanh, bài phép Chậm hoặc Kỹ Năng.",Rare,['Ionia'],4,Bài phép,30
01IO052,Sơn Tặc Navori,"Khi ta được triệu hồi, triệu hồi 1 lá Côn Đồ Navori với chỉ số của ta.",Common,['Ionia'],2,Bài quân,10
01IO052T1,Côn Đồ Navori,,None,['Ionia'],2,Bài quân,0
01IO030,Long Thần,,Epic,['Ionia'],7,Bài quân,120
01IO019,Người Chăm Lo Greenglade,"Khi 1 đồng minh nhận Lá Chắn, ban cho ta +2|+0.",Common,['Ionia'],1,Bài quân,10
01IO046,Bão Kiếm,Làm Choáng 1 kẻ địch đang tấn công.,Rare,['Ionia'],2,Bài phép,30
01IO037,Bảo Hộ Linh Hồn,Trao Lá Chắn và Hút Máu cho 1 đồng minh trong vòng này.,Common,['Ionia'],4,Bài phép,10
01IO043,Ngự Thuỷ Sư,Ra Đòn: Rút 1 bài phép.,Rare,['Ionia'],3,Bài quân,30
01IO038,Tu Nữ Đơn Độc,Xuất Trận: Thu Về tất cả các đồng minh khác.,Rare,['Ionia'],3,Bài quân,30
01IO039,Ảo Ảnh Bóng Đêm,Thu Về 1 đồng minh để triệu hồi vào vị trí đó 1 lá Phân Thân Bóng Tối.,Common,['Ionia'],2,Bài phép,10
01IO055,Nội Công Hộ Vệ,"Ban Lá Chắn cho 1 đồng minh trên tay. 
Rút 1 lá bài.",Common,['Ionia'],2,Bài phép,10
01NX020,Draven,Khi ta được triệu hồi hoặc ra đòn: Tạo trên tay 1 lá Rìu Xoay.,Champion,['Noxus'],3,Bài quân,300
01NX020T3,Draven,Khi ta được triệu hồi hoặc ra đòn: Tạo trên tay 2 lá Rìu Xoay.,None,['Noxus'],3,Bài quân,0
01NX020T2,Draven Lốc Xoáy Tử Vong,"1 đồng minh đang chiến đấu Ra Đòn lên 1 kẻ địch đang chiến đấu.
Tạo 1 lá Draven trong bộ bài.",None,['Noxus'],3,Bài phép,0
01NX020T1,Rìu Xoay,"Để sử dụng, bỏ 1 lá bài.
Trao +1|+0 cho 1 đồng minh trong vòng này.",None,['Noxus'],0,Bài phép,0
01NX006,Vladimir,Xuất Trận: Gây 1 sát thương lên số lượng đồng minh bất kỳ để gây cùng lượng sát thương đó lên 1 kẻ địch.,Champion,['Noxus'],5,Bài quân,300
01NX006T4,Huyết Thệ,"Với mỗi đồng minh đang tấn công ở bên phải của Vladimir, gây 1 sát thương lên đồng minh đó và Hấp Thụ 1 máu từ Nhà Chính của đối thủ.",None,['Noxus'],0,Kỹ năng,0
01NX006T2,Huyết Thệ,Gây 1 sát thương lên số lượng đồng minh bất kỳ để gây cùng lượng sát thương đó lên 1 kẻ địch.,None,['Noxus'],0,Kỹ năng,0
01NX006T1,Vladimir,"Xuất Trận: Gây 1 sát thương lên số lượng đồng minh bất kỳ để gây cùng lượng sát thương đó lên 1 kẻ địch.
Tấn Công: Với mỗi đồng minh đang tấn công ở bên phải ta, gây 1 sát thương lên đồng minh đó và Hấp Thụ 1 máu từ Nhà Chính của đối thủ.",None,['Noxus'],5,Bài quân,0
01NX006T3,Vladimir Truyền Máu,"Gây 1 sát thương lên 1 đồng minh và trao +2|+2 cho 1 đồng minh khác trong vòng này.
Tạo 1 lá Vladimir trong bộ bài.",None,['Noxus'],2,Bài phép,0
01NX004,Đòn Thanh Trừng,Tiêu diệt 1 bài quân có 3- Sức mạnh.,Rare,['Noxus'],3,Bài phép,30
01NX048,Huyết Giám,"Nếu ta nhận sát thương và sống sót, tạo trên tay 1 Huyết bài ngẫu nhiên.",Common,['Noxus'],3,Bài quân,10
01NX038,Darius,,Champion,['Noxus'],6,Bài quân,300
01NX023,Nhền Nhện Đầu Đàn,"Khi ta được triệu hồi, ban +2|+0 cho tất cả đồng minh Nhện khác.",Rare,['Noxus'],5,Bài quân,30
01NX013,Đòn Quyết Định,Làm Choáng 1 kẻ địch. Trao +2|+0 cho tất cả đồng minh trong vòng này.,Rare,['Noxus'],5,Bài phép,30
01NX046,Lính Gác Nhền Nhện,Xuất Trận: Làm Choáng 1 kẻ địch.,Common,['Noxus'],3,Bài quân,10
01NX046T1,Nhát Cắn Tê Liệt,Làm Choáng 1 kẻ địch.,None,['Noxus'],0,Kỹ năng,0
01NX047,Truyền Máu,Gây 1 sát thương lên 1 đồng minh và trao +2|+2 cho 1 đồng minh khác trong vòng này.,Common,['Noxus'],2,Bài phép,10
01NX040,Quân Đoàn Đặc Công,Tấn Công: Gây 1 sát thương lên Nhà Chính của đối thủ.,Common,['Noxus'],1,Bài quân,10
01NX038T2,Darius,,None,['Noxus'],6,Bài quân,0
01NX038T1,Tàn Sát Của Darius,"Gây 4 sát thương lên Nhà Chính của đối thủ.
Tạo 1 lá Darius trong bộ bài.",None,['Noxus'],6,Bài phép,0
01NX025,Tình Huynh Đệ,Ban +2|+0 cho 2 đồng minh.,Common,['Noxus'],2,Bài phép,10
01NX055,Nhện Nhà,"Khi ta được triệu hồi, triệu hồi 1 lá Nhện Con.",Common,['Noxus'],2,Bài quân,10
01NX030,Huyết Đồ,"Nếu ta nhận sát thương và sống sót, gây 1 sát thương lên Nhà Chính của đối thủ.",Rare,['Noxus'],2,Bài quân,30
01NX007,Bình Luận Viên Đấu Trường,Tấn Công: Trao +1|+0 cho tất cả đồng minh khác đang tấn công trong vòng này.,Rare,['Noxus'],2,Bài quân,30
01NX021,Quân Đoàn Cướp Bóc,Tấn Công: Ban +1|+1 cho Quân Đoàn Cướp Bóc đồng minh Ở Mọi Nơi.,Common,['Noxus'],3,Bài quân,10
01NX009,Ngôi Sao Đấu Trường,"Khi ta được triệu hồi, ban cho ta +1|+1 với mỗi đồng minh hiện có.",Rare,['Noxus'],4,Bài quân,30
01NX011,Lốc Xoáy Tử Vong,1 đồng minh đang chiến đấu Ra Đòn lên 1 kẻ địch đang chiến đấu.,Common,['Noxus'],3,Bài phép,10
01NX053,Thanh Toán,"Nếu có 1 đồng minh 5+ sức mạnh, tiêu diệt TẤT CẢ các bài quân 4- Sức mạnh.",Epic,['Noxus'],7,Bài phép,120
01NX040T1,Phá Hoại,Gây 1 sát thương lên Nhà Chính của đối thủ.,None,['Noxus'],0,Kỹ năng,0
01NX054,Tiếng Gầm Thị Uy,Làm Choáng tất cả kẻ địch có 4- Sức mạnh.,Rare,['Noxus'],5,Bài phép,30
01NX029,Cựu Binh Quân Đoàn,"Khi 1 đồng minh khác nhận sát thương và sống sót, ban +1|+0 cho đồng minh đó.",Epic,['Noxus'],4,Bài quân,120
01NX014,Kiếm Sư Shiraza,Ta gây gấp đôi sát thương lên Nhà Chính.,Epic,['Noxus'],4,Bài quân,120
01NX042,Katarina,"Khi ta được triệu hồi, tạo trên tay 1 lá Lưỡi Dao Phù Du.",Champion,['Noxus'],3,Bài quân,300
01NX042T2,Katarina,"Khi ta được triệu hồi, Tiến Công và tạo trên tay 1 lá Lưỡi Dao Phù Du. Lá bài đó có 0 tiêu hao.
Ra Đòn: Thu Ta Về.",None,['Noxus'],4,Bài quân,0
01NX042T1,Katarina Bông Sen Tử Thần,"Gây 1 sát thương lên TẤT CẢ bài quân đang chiến đấu.
Tạo 1 lá Katarina trong bộ bài.",None,['Noxus'],2,Bài phép,0
01NX051,Đại Úy Farron,"Khi ta được triệu hồi, tạo trên tay 2 lá Tàn Sát.",Epic,['Noxus'],8,Bài quân,120
01NX012,Quân Đoàn Hậu Binh,,Common,['Noxus'],1,Bài quân,10
01NX043,Lưỡi Dao,Gây 1 sát thương lên 1 đối tượng bất kỳ.,Common,['Noxus'],1,Bài phép,10
01NX037,Quân Đoàn Bộc Phá,Trăng Trối: Gây 1 sát thương lên Nhà Chính của đối thủ.,Common,['Noxus'],2,Bài quân,10
01NX010,Đại Tướng Quân Đoàn,"Khi ta được triệu hồi, ban cho ta +1|+1 tương ứng với mỗi bài quân ngươi đã Làm Choáng hoặc  Thu Về trong trận đấu. ",Common,['Noxus'],5,Bài quân,10
01NX017,Tay Trống Quân Đoàn,Hỗ Trợ: Trao Đột Kích cho đồng minh được ta hỗ trợ trong vòng này.,Common,['Noxus'],2,Bài quân,10
01NX003,Nhà Cái Đấu Trường,Bắt Đầu Vòng Đấu: Bỏ 1 lá bài có tiêu hao thấp nhất và rút 1 lá bài.,Rare,['Noxus'],2,Bài quân,30
01NX039,Tầm Nhìn,"Khi sử dụng hoặc bị loại bỏ, ban +1|+0 cho các đồng minh.",Rare,['Noxus'],3,Bài phép,30
01NX041,Kẻ Phá Khiên Trifarix,,Common,['Noxus'],5,Bài quân,10
01NX036,Đấu Sĩ Ngưu Vương,Bắt Đầu Vòng Đấu: Làm Choáng kẻ địch Yếu Nhất.,Rare,['Noxus'],6,Bài quân,30
01NX044,Đội Phá Cổng,Tấn Công: Ban cho ta +4|+0.,Epic,['Noxus'],6,Bài quân,120
01NX005,Huyết Hầu,"Xuất Trận: Gây 1 sát thương lên 1 đồng minh, đồng thời ban +1|+0 và Áp Đảo cho đồng minh đó.",Common,['Noxus'],2,Bài quân,10
01NX016,Kẻ Vọng Ước Trifarix,"Khi ta được triệu hồi, ban cho ta +2|+0 nếu có đồng minh thuộc Noxus.",Common,['Noxus'],2,Bài quân,10
01NX019,Dũng Mãnh,Trao +3|+0 và Áp Đảo cho 1 đồng minh trong vòng này.,Common,['Noxus'],3,Bài phép,10
01NX015,Nhện Cưng,,Common,['Noxus'],1,Bài quân,10
01NX050,Bông Sen Tử Thần,Gây 1 sát thương lên TẤT CẢ bài quân đang chiến đấu.,Rare,['Noxus'],2,Bài phép,30
01NX056,Ám Sát,"Gây 2 sát thương lên 1 kẻ địch, sau đó Tiến Công.",Common,['Noxus'],5,Bài phép,10
01NX033,Trạch Binh Trifarix,"Khi ta được triệu hồi, rút thêm 1 lá bài với mỗi đồng minh có 5+ Sức Mạnh.",Rare,['Noxus'],4,Bài quân,30
01NX052,Nợ Máu Trả Máu,"Gây 1 sát thương lên 1 tùy tùng đồng minh. Nếu tùy tùng đó sống sót, tạo trên tay 1 bản sao của tùy tùng đó.",Common,['Noxus'],2,Bài phép,10
01NX045,Đấu Sĩ Tàn Ác,,Rare,['Noxus'],7,Bài quân,30
01NX031,Kẻ Tầm Vọng Trifarix,,Rare,['Noxus'],2,Bài quân,30
01NX002,Tàn Sát,Gây 4 sát thương lên Nhà Chính của đối thủ.,Rare,['Noxus'],6,Bài phép,30
01NX008,Kỵ Binh Tử Xà,Liên Minh: Ban cho ta +1|+1 và Áp Đảo.,Rare,['Noxus'],4,Bài quân,30
01NX034,Poro Tình Cảm,,Common,['Noxus'],1,Bài quân,10
01NX035,Fan Cuồng Của Draven,"Khi ta được triệu hồi, chuyển Draven lên trên cùng của bộ bài nếu chưa có lá bài này trên tay hoặc trên bàn.",Common,['Noxus'],1,Bài quân,10
01NX026,Kẻ Liều Lĩnh Trifarix,,Common,['Noxus'],3,Bài quân,10
01NX027,Dược Phẩm Phẫn Nộ,Trao +3|+0 cho 1 đồng minh trong vòng này.,Common,['Noxus'],1,Bài phép,10
01NX022,Máy Chém Noxus,Tiêu diệt 1 bài quân bị thương và tạo trên tay 1 lá Máy Chém Noxus Phù Du.,Rare,['Noxus'],3,Bài phép,30
01NX032,Huyết Minh,"Khi ta được triệu hồi, gây 1 sát thương lên tất cả đồng minh khác.",Rare,['Noxus'],4,Bài quân,30
01NX024,Kato Tay To,Hỗ Trợ: Trao +3|+0 và Áp Đảo cho đồng minh được ta hỗ trợ trong vòng này.,Epic,['Noxus'],5,Bài quân,120
01NX049,Mưu Trí,Làm Choáng 1 kẻ địch.,Common,['Noxus'],1,Bài phép,10
01DE031,Diễn Giả Rạng Đông,Kết Thúc Vòng Đấu: Ban +1|+1 cho tất cả đồng minh khác nếu có đồng minh hy sinh trong vòng này.,Epic,['Demacia'],3,Bài quân,120
01DE022,Lucian,,Champion,['Demacia'],1,Bài quân,300
01DE019,Tổng Động Viên,Giảm 1 tiêu hao của các đồng minh trên tay.,Rare,['Demacia'],3,Bài phép,30
01DE042,Lux,,Champion,['Demacia'],5,Bài quân,300
01DE042T1,Lăng Kính Phòng Hộ Của Lux,"Trao Lá Chắn cho 1 đồng minh trong vòng này.
Tạo 1 lá Lux trong bộ bài.",None,['Demacia'],3,Bài phép,0
01DE042T2,Lux,"Mỗi lần ngươi sử dụng 6+ năng lượng cho bài phép, tạo trên tay 1 lá Cầu Vồng Tối Thượng. ",None,['Demacia'],5,Bài quân,0
01DE042T3,Cầu Vồng Tối Thượng,"Gây 4 sát thương lên 1 kẻ địch. Nếu không có kẻ địch nào, gây 4 sát thương lên Nhà Chính của đối thủ.",None,['Demacia'],0,Bài phép,0
01DE010,Thương Thủ Mẫn Linh,Trăng Trối: Tạo trên tay 1 lá Tinh Nhuệ ngẫu nhiên.,Rare,['Demacia'],5,Bài quân,30
01DE020,Cảnh Binh Tiên Phong,,Common,['Demacia'],2,Bài quân,10
01DE034,Thợ Rèn Vũ Khí,"Khi triệu hồi bài quân Tinh Nhuệ, ban +1|+1 cho bài quân đó.",Rare,['Demacia'],2,Bài quân,30
01DE002,Tianna Crownguard,"Khi ta được triệu hồi, nhận Tiến Công.",Epic,['Demacia'],8,Bài quân,120
01DE012,Garen,"Khi ta được triệu hồi, trao +1|+1 cho tất cả đồng minh khác trong vòng này.",Champion,['Demacia'],5,Bài quân,300
01DE012T1,Garen,"Khi ta được triệu hồi, trao +1|+1 cho tất cả đồng minh khác trong vòng này.
Bắt Đầu Vòng Đấu: Tiến Công.",None,['Demacia'],5,Bài quân,0
01DE012T2,Phán Quyết Của Garen,"1 đồng minh đang chiến đấu Ra Đòn lên tất cả kẻ địch đang chiến đấu.
Tạo 1 lá Garen trong bộ bài.",None,['Demacia'],8,Bài phép,0
01DE017,Đơn Thương Độc Mã,"Nếu có duy nhất 1 đồng minh, ban +3|+3 cho đồng minh đó.",Rare,['Demacia'],4,Bài phép,30
01DE045,Fiora,,Champion,['Demacia'],4,Bài quân,300
01DE052,Trận Thế Giáp Sắt,Khi ta được triệu hồi hoặc Tấn Công: Trao Lá Chắn cho đồng minh trong vòng này.,Epic,['Demacia'],9,Bài quân,120
01DE021,Truy Cùng Diệt Tận,Tiến Công.,Common,['Demacia'],4,Bài phép,10
01DE022T2,Lucian Truy Cùng Diệt Tận,"Tiến Công.
Tạo 1 lá Lucian trong bộ bài.",None,['Demacia'],4,Bài phép,0
01DE022T1,Lucian,"Mỗi vòng đấu, Tiến Công khi đồng minh đầu tiên hy sinh.",None,['Demacia'],1,Bài quân,0
01DE025,Giam Cầm,1 đồng minh Bắt Giữ 1 bài quân.,Common,['Demacia'],5,Bài phép,10
01DE007,Phán Quyết,1 đồng minh đang chiến đấu Ra Đòn lên tất cả kẻ địch đang chiến đấu.,Epic,['Demacia'],8,Bài phép,120
01DE055,Kiếm Sư Laurent,Xuất Trận: Ban Thách Đấu cho 1 đồng minh trên tay.,Common,['Demacia'],2,Bài quân,10
01DE048,Tầm Pháp Tưởng Khách,Ban cho ta +2|+2 nếu ngươi đã sử dụng 1 bài phép 6+ tiêu hao trong trận đấu.,Rare,['Demacia'],4,Bài quân,30
01DE001,Kỳ Binh Tiên Phong,Liên Minh: Ban +1|+1 cho tất cả đồng minh khác.,Rare,['Demacia'],4,Bài quân,30
01DE043,Đầu Bếp Chiến Trường,Hỗ Trợ: Trao +1|+1 cho đồng minh được ta hỗ trợ trong vòng này.,Common,['Demacia'],2,Bài quân,10
01DE049,Poro Can đảm,,Common,['Demacia'],1,Bài quân,10
01DE053,Hiệp Sĩ Laurent,Ra Đòn: Tạo trên tay 1 tùy tùng Thách Đấu ngẫu nhiên khác thuộc khu vực đồng minh.,Epic,['Demacia'],4,Bài quân,120
01DE033,Tưởng Niệm,Ta được giảm 1 tiêu hao với mỗi đồng minh hy sinh trong vòng này. Triệu hồi một tùy tùng 5 tiêu hao ngẫu nhiên thuộc Demacia.,Rare,['Demacia'],6,Bài phép,30
01DE045T1,Fiora,"Nếu ta tiêu diệt 4 kẻ địch và sống sót, lập tức giành chiến thắng. ",None,['Demacia'],4,Bài quân,0
01DE045T2,Phản Đòn của Fiora,"Trao +3|+0 và Lá Chắn cho 1 đồng minh trong vòng này.
Tạo 1 lá Fiora trong bộ bài.",None,['Demacia'],4,Bài phép,0
01DE044,Trí Dũng Song Toàn,"Hồi đầy máu và nhân đôi Sức Mạnh, Máu cho 1 đồng minh.",Rare,['Demacia'],6,Bài phép,30
01DE024,Tầm Pháp Hộ Vệ,Trăng Trối: Tạo trên tay 1 bài phép 6+ tiêu hao ngẫu nhiên không thuộc Demacia.,Common,['Demacia'],1,Bài quân,10
01DE004,Cánh Bạc Tiên Phong,Xuất Trận: Triệu hồi 1 bản sao y hệt của ta.,Common,['Demacia'],4,Bài quân,10
01DE011,Môn Đệ Laurent,,Common,['Demacia'],3,Bài quân,10
01DE047,Kế Thừa,Triệu hồi 1 lá Tiên Phong Bất Khuất.,Common,['Demacia'],3,Bài phép,10
01DE046,Lính Canh Tiên Phong,,Common,['Demacia'],2,Bài quân,10
01DE050,Thanh Tẩy,Câm Lặng 1 tùy tùng.,Common,['Demacia'],2,Bài phép,10
01DE016,Tiên Phong Bất Khuất,,None,['Demacia'],3,Bài quân,0
01DE040,Tầm Pháp Thuyết Giả,Ban cho ta +1|+1 và Thách Đấu nếu ngươi đã sử dụng 1 bài phép 6+ tiêu hao trong trận đấu.,Rare,['Demacia'],2,Bài quân,30
01DE036,Nữ Vệ Tiên Phong,"Khi triệu hồi 1 bài quân Tinh Nhuệ, giảm 1 tiêu hao của ta.",Common,['Demacia'],3,Bài quân,10
01DE037,Phản Đòn,Trao +3|+0 và Lá Chắn cho 1 đồng minh trong vòng này.,Rare,['Demacia'],4,Bài phép,30
01DE014,Viện Binh,"Triệu hồi 2 lá Tiên Phong Bất Khuất, sau đó ban +1|+1 cho tất cả đồng minh Tinh Nhuệ.",Rare,['Demacia'],8,Bài phép,30
01DE015,Thậm Minh Hộ Vệ,"Khi ta được triệu hồi, ban cho ta Hút Máu và Kiên Cường nếu có đồng minh hy sinh trong vòng này.",Rare,['Demacia'],5,Bài quân,30
01DE003,Người Giữ Gươm Laurent,Xuất Trận: Ban +2|+2 cho 1 đồng minh.,Rare,['Demacia'],4,Bài quân,30
01DE026,Đấu Tay Đôi,1 đồng minh và 1 kẻ địch Ra Đòn đánh lẫn nhau.,Common,['Demacia'],2,Bài phép,10
01DE032,Lăng Kính Phòng Hộ,Trao Lá Chắn cho 1 đồng minh trong vòng này.,Common,['Demacia'],3,Bài phép,10
01DE027,Thủ Thế,Trao Thách Đấu cho các đồng minh trong vòng này.,Rare,['Demacia'],2,Bài phép,30
01DE006,Trung Sĩ Tiên Phong,"Khi ta được triệu hồi, tạo trên tay 1 lá Vì Demacia!.",Rare,['Demacia'],3,Bài quân,30
01DE038,"Senna, Vệ Binh Ánh Sáng","Lần đầu 1 Lucian đồng minh hy sinh, ban cho ta +1|+1 và Song Kích.",Rare,['Demacia'],3,Bài quân,30
